tournament_id,tournament_title,tournament_status,tournament_kind,tournament_startAt,map,mode,duration,match_id,match_num,match_status,winner,entrant_a_id,entrant_a_score,entrant_b_id,entrant_b_score,game_number,set_number,score_a,score_b,score_draw,game_winner,P1,P2,P3,P4,P5,P6,Brawler1,Brawler2,Brawler3,Brawler4,Brawler5,Brawler6,Ban1,Ban2,Ban3,Ban4,Ban5,Ban6,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,banned_brawlers_a,banned_brawlers_b,team_a_player_1_tag,team_a_player_1_brawler,team_a_player_1_gadget,team_a_player_1_starpower,team_a_player_1_kills,team_a_player_1_deaths,team_a_player_1_damage,team_a_player_2_tag,team_a_player_2_brawler,team_a_player_2_gadget,team_a_player_2_starpower,team_a_player_2_kills,team_a_player_2_deaths,team_a_player_2_damage,team_a_player_3_tag,team_a_player_3_brawler,team_a_player_3_gadget,team_a_player_3_starpower,team_a_player_3_kills,team_a_player_3_deaths,team_a_player_3_damage,team_b_player_1_tag,team_b_player_1_brawler,team_b_player_1_gadget,team_b_player_1_starpower,team_b_player_1_kills,team_b_player_1_deaths,team_b_player_1_damage,team_b_player_2_tag,team_b_player_2_brawler,team_b_player_2_gadget,team_b_player_2_starpower,team_b_player_2_kills,team_b_player_2_deaths,team_b_player_2_damage,team_b_player_3_tag,team_b_player_3_brawler,team_b_player_3_gadget,team_b_player_3_starpower,team_b_player_3_kills,team_b_player_3_deaths,team_b_player_3_damage
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Safe Zone,HEIST,162,101361208,252,done,LSDa,LSDa,2.0,Doug Layca,1.0,,2,2,0,0,LSDa,Alvaro,Luliv,TTM|Bread,DynamiteAnton,Chotis,tara_forever,LILY,CHARLIE,BELLE,BONNIE,BO,EVE,ANGELO,CHUCK,KAZE,KIT,MICO,CORDELIUS,#PRUJ8VPC,#UQCQJ2YG,#8LLC2208C,#99Q8C9YG,#P8PC2CGYQ,#82LUQUQ2R,"ANGELO, CHUCK, KAZE","KIT, MICO, CORDELIUS",#PRUJ8VPC,LILY,VANISH,VIGILANCE,5,5,30789,#UQCQJ2YG,CHARLIE,SPIDERS,SLIMY,3,5,38547,#8LLC2208C,BELLE,NEST EGG,POSITIVE FEEDBACK,5,5,63830,#99Q8C9YG,BONNIE,SUGAR RUSH,BLACK POWDER,7,5,41483,#P8PC2CGYQ,BO,TRIPWIRE,SNARE A BEAR,8,3,58905,#82LUQUQ2R,EVE,GOTTA GO!,UNNATURAL ORDER,0,5,27955
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Goldarm Gulch,KNOCKOUT,131,101361208,252,done,LSDa,LSDa,2.0,Doug Layca,1.0,,3,2,0,0,LSDa,Luliv,Alvaro,TTM|Bread,Chotis,DynamiteAnton,tara_forever,SQUEAK,GENE,BONNIE,GRAY,BUSTER,BELLE,KIT,R-T,JAE-YONG,CORDELIUS,KIT,DOUG,#UQCQJ2YG,#PRUJ8VPC,#8LLC2208C,#P8PC2CGYQ,#99Q8C9YG,#82LUQUQ2R,"KIT, R-T, JAE-YONG","CORDELIUS, KIT, DOUG",#UQCQJ2YG,SQUEAK,RESIDUE,CHAIN REACTION,4,0,25547,#PRUJ8VPC,GENE,VENGEFUL SPIRITS,MAGIC PUFFS,0,1,9036,#8LLC2208C,BONNIE,SUGAR RUSH,BLACK POWDER,2,1,25733,#P8PC2CGYQ,GRAY,WALKING CANE,FAKE INJURY,0,2,13041,#99Q8C9YG,BUSTER,SLO-MO REPLAY,KEVLAR VEST,1,2,8477,#82LUQUQ2R,BELLE,REVERSE POLARITY,POSITIVE FEEDBACK,1,2,29649
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Crystal Arcade,GEM GRAB,105,101361209,253,done,bananinis,bananinis,3.0,Desertadosssss,0.0,,1,2,0,0,bananinis,lipecry,Rei do fut,Rdz;,Popochene,Ashura,sun7,JANET,HANK,CROW,RUFFS,BONNIE,JAE-YONG,LILY,CHARLIE,KAZE,KIT,CORDELIUS,KAZE,#JL0Q2Q0P,#RVL0RPR9,#9P2L0G8PR,#228LCRC9P,#P9G2YLG,#8JJ9YV0G,"LILY, CHARLIE, KAZE","KIT, CORDELIUS, KAZE",#JL0Q2Q0P,JANET,DROP THE BASS,VOCAL WARM UP,3,1,43319,#RVL0RPR9,HANK,BARRICADE,IT'S GONNA BLOW,5,4,30497,#9P2L0G8PR,CROW,DEFENSE BOOSTER,EXTRA TOXIC,0,1,21407,#228LCRC9P,RUFFS,TAKE COVER,AIR SUPERIORITY,2,2,33457,#P9G2YLG,BONNIE,SUGAR RUSH,BLACK POWDER,2,4,24251,#8JJ9YV0G,JAE-YONG,WEEKEND WARRIOR,EXTRA HIGH NOTE,2,2,32395
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,No Excuses,BOUNTY,132,101361209,253,done,bananinis,bananinis,3.0,Desertadosssss,0.0,,2,2,0,0,bananinis,lipecry,Rei do fut,Rdz;,Ashura,sun7,Popochene,MANDY,GUS,ANGELO,GENE,BYRON,PAM,JAE-YONG,CHARLIE,GRAY,PIPER,NANI,BEA,#JL0Q2Q0P,#RVL0RPR9,#9P2L0G8PR,#P9G2YLG,#8JJ9YV0G,#228LCRC9P,"JAE-YONG, CHARLIE, GRAY","PIPER, NANI, BEA",#JL0Q2Q0P,MANDY,CARAMELIZE,IN MY SIGHTS,3,2,49009,#RVL0RPR9,GUS,KOOKY POPPER,SPIRIT ANIMAL,2,0,35304,#9P2L0G8PR,ANGELO,STINGING FLIGHT,EMPOWER,0,0,48010,#P9G2YLG,GENE,VENGEFUL SPIRITS,MAGIC PUFFS,1,1,22109,#8JJ9YV0G,BYRON,BOOSTER SHOTS,INJECTION,1,2,16143,#228LCRC9P,PAM,SCRAPSUCKER,MAMA'S HUG,0,2,19953
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Out in the Open,KNOCKOUT,192,101361209,253,done,bananinis,bananinis,3.0,Desertadosssss,0.0,,3,2,0,0,bananinis,lipecry,Rei do fut,Rdz;,sun7,Ashura,Popochene,BONNIE,GUS,ANGELO,GRAY,R-T,PIPER,CHARLIE,KIT,GENE,KAZE,KIT,BROCK,#JL0Q2Q0P,#RVL0RPR9,#9P2L0G8PR,#8JJ9YV0G,#P9G2YLG,#228LCRC9P,"CHARLIE, KIT, GENE","KAZE, KIT, BROCK",#JL0Q2Q0P,BONNIE,SUGAR RUSH,BLACK POWDER,3,1,43070,#RVL0RPR9,GUS,KOOKY POPPER,SPIRIT ANIMAL,2,2,23388,#9P2L0G8PR,ANGELO,STINGING FLIGHT,EMPOWER,2,2,32336,#8JJ9YV0G,GRAY,GRAND PIANO,FAKE INJURY,2,2,27200,#P9G2YLG,R-T,HACKS!,RECORDING,3,3,45706,#228LCRC9P,PIPER,HOMEMADE RECIPE,SNAPPY SNIPING,0,2,25902
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Backyard Bowl,BRAWL BALL,97,101361210,254,done,Goats de BC,Goats de BC,3.0,LSDa,0.0,,1,2,0,0,Goats de BC,Pabloooooooo🏌️🏌️,nouthz,CAUEBR,Luliv,TTM|Bread,Alvaro,GUS,MEG,KIT,LUMI,MOE,BONNIE,LILY,JAE-YONG,CHARLIE,AMBER,KAZE,JAE-YONG,#2L89R02JV,#8809RJ0CV,#JQ8L0YYL,#UQCQJ2YG,#8LLC2208C,#PRUJ8VPC,"LILY, JAE-YONG, CHARLIE","AMBER, KAZE, JAE-YONG",#2L89R02JV,GUS,KOOKY POPPER,SPIRIT ANIMAL,5,1,37851,#8809RJ0CV,MEG,JOLTING VOLTS,HEAVY METAL,4,2,24811,#JQ8L0YYL,KIT,CARDBOARD BOX,OVERLY ATTACHED,3,2,23146,#UQCQJ2YG,LUMI,GRIM AND FROSTBITTEN,HALF-TIME,1,4,21630,#8LLC2208C,MOE,DODGY DIGGING,SKIPPING STONES,2,4,30270,#PRUJ8VPC,BONNIE,SUGAR RUSH,BLACK POWDER,2,4,18564
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Safe Zone,HEIST,110,101361210,254,done,Goats de BC,Goats de BC,3.0,LSDa,0.0,,2,2,0,0,Goats de BC,CAUEBR,Pabloooooooo🏌️🏌️,nouthz,Alvaro,Luliv,TTM|Bread,KIT,BONNIE,BROCK,LILY,CROW,BELLE,ANGELO,CHARLIE,CHUCK,KAZE,CORDELIUS,LUMI,#JQ8L0YYL,#2L89R02JV,#8809RJ0CV,#PRUJ8VPC,#UQCQJ2YG,#8LLC2208C,"ANGELO, CHARLIE, CHUCK","KAZE, CORDELIUS, LUMI",#JQ8L0YYL,KIT,CARDBOARD BOX,OVERLY ATTACHED,2,3,27905,#2L89R02JV,BONNIE,SUGAR RUSH,BLACK POWDER,6,0,31790,#8809RJ0CV,BROCK,ROCKET LACES,ROCKET NO. 4,4,1,35819,#PRUJ8VPC,LILY,VANISH,VIGILANCE,1,3,11988,#UQCQJ2YG,CROW,DEFENSE BOOSTER,EXTRA TOXIC,1,5,31075,#8LLC2208C,BELLE,NEST EGG,GROUNDED,2,4,35780
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Goldarm Gulch,KNOCKOUT,94,101361210,254,done,Goats de BC,Goats de BC,3.0,LSDa,0.0,,3,2,0,0,Goats de BC,nouthz,CAUEBR,Pabloooooooo🏌️🏌️,Alvaro,TTM|Bread,Luliv,BONNIE,MANDY,GROM,BUSTER,CHARLIE,GENE,ANGELO,KIT,GRAY,R-T,KAZE,MR. P,#8809RJ0CV,#JQ8L0YYL,#2L89R02JV,#PRUJ8VPC,#8LLC2208C,#UQCQJ2YG,"ANGELO, KIT, GRAY","R-T, KAZE, MR. P",#8809RJ0CV,BONNIE,SUGAR RUSH,BLACK POWDER,0,0,15455,#JQ8L0YYL,MANDY,COOKIE CRUMBS,IN MY SIGHTS,3,0,45220,#2L89R02JV,GROM,WATCHTOWER,X-FACTOR,3,0,37097,#PRUJ8VPC,BUSTER,SLO-MO REPLAY,KEVLAR VEST,0,2,8364,#8LLC2208C,CHARLIE,SPIDERS,DIGESTIVE,0,2,11005,#UQCQJ2YG,GENE,VENGEFUL SPIRITS,SPIRIT SLAP,0,2,11296
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Gem Fort,GEM GRAB,147,101361211,255,done,bananinis,bananinis,3.0,Goats de BC,0.0,,1,2,0,0,bananinis,lipecry,Rdz;,Rei do fut,Pabloooooooo🏌️🏌️,CAUEBR,nouthz,JANET,CHESTER,CHARLIE,CROW,BONNIE,SQUEAK,KAZE,MOE,LILY,LILY,CORDELIUS,KIT,#JL0Q2Q0P,#9P2L0G8PR,#RVL0RPR9,#2L89R02JV,#JQ8L0YYL,#8809RJ0CV,"KAZE, MOE, LILY","LILY, CORDELIUS, KIT",#JL0Q2Q0P,JANET,DROP THE BASS,VOCAL WARM UP,3,4,45290,#9P2L0G8PR,CHESTER,CANDY BEANS,SINGLE BELL'O'MANIA,4,2,40626,#RVL0RPR9,CHARLIE,SPIDERS,SLIMY,1,1,27923,#2L89R02JV,CROW,SLOWING TOXIN,EXTRA TOXIC,1,2,10892,#JQ8L0YYL,BONNIE,SUGAR RUSH,BLACK POWDER,3,4,39484,#8809RJ0CV,SQUEAK,RESIDUE,CHAIN REACTION,3,2,31012
164027,UXR CHAMPIONSHIP SA,completed,single-elim,2025-08-20 16:28:56,Layer Cake,BOUNTY,132,101361211,255,done,bananinis,bananinis,3.0,Goats de BC,0.0,,2,2,1,0,bananinis,Rdz;,lipecry,Rei do fut,Pabloooooooo🏌️🏌️,nouthz,CAUEBR,BONNIE,GUS,GRAY,WILLOW,JANET,DOUG,KAZE,LILY,CHARLIE,KAZE,KIT,GENE,#9P2L0G8PR,#JL0Q2Q0P,#RVL0RPR9,#2L89R02JV,#8809RJ0CV,#JQ8L0YYL,"KAZE, LILY, CHARLIE","KAZE, KIT, GENE",#9P2L0G8PR,BONNIE,SUGAR RUSH,BLACK POWDER,2,0,32243,#JL0Q2Q0P,GUS,KOOKY POPPER,SPIRIT ANIMAL,2,0,32168,#RVL0RPR9,GRAY,WALKING CANE,NEW PERSPECTIVE,1,1,35281,#2L89R02JV,WILLOW,DIVE,OBSESSION,0,1,13430,#8809RJ0CV,JANET,DROP THE BASS,VOCAL WARM UP,1,2,20801,#JQ8L0YYL,DOUG,EXTRA MUSTARD,FAST FOOD,0,2,2040
